resolution,id,count
0,2489368705,1
0,2489371017,1
0,2489386564,1
1,2489396289,1
1,2489412879,1
1,2489407626,1
2,2489418182,1
2,2489428909,1
2,2489428974,1
3,2489436745,1
3,2489437056,1
3,2489445960,1
4,2489451953,1
4,2489451960,1
4,2489464449,1
5,2489467423,1
5,2489467786,1
5,2489479471,1
6,2489482018,1
6,2489491479,1
6,2489497525,1
7,2489498249,1
7,2489498424,1
7,2489512491,1
8,2489514335,1
8,2489525639,1
8,2489522554,1
9,2489530267,1
9,2489540158,1
9,2489541112,1
10,2489546415,1
10,2489555417,1
10,2489556194,1
11,2489564425,1
11,2489564442,1
11,2489573730,1
12,2489582630,1
12,2489595911,1
12,2489595993,1
13,2489603448,1
13,2489619627,1
13,2489610244,1
14,2489626926,1
14,2489645270,1
14,2489646322,1
15,2489651742,1
15,2489668518,1
15,2489673405,1
16,2489679493,1
16,2489694338,1
16,2489696643,1
17,2489708259,1
17,2489709590,1
17,2489726139,1
18,2489735557,1
18,2489758514,1
18,2489757061,1
19,2489764097,1
19,2489771779,1
19,2489782951,1
20,2489793029,1
20,2489809728,1
20,2489812230,1
21,2489821526,1
21,2489841855,1
21,2489844427,1
22,2489851473,1
22,2489869946,1
22,2489873357,1
23,2489879540,1
23,2489900693,1
23,2489900104,1
